feature,ks_stat,ks_pval,mw_pval,cohens_d,SCZ_mean,Non SCZ_mean,SCZ_std,Non SCZ_std,-log10_ks_p
lh_posteriorcingulate_MD,0.6920943134535368,1.1539094677274418e-19,1.3385133240179165e-19,1.9068728029904232,0.9299717089740359,1.114861618822624,0.0973714867357115,0.09654625693094349,18.937828263284914
lh_frontalpole_MD,0.6915395284327324,1.3471841978533378e-19,3.9282217629793844e-21,1.9900029956609122,0.5970298061671616,0.9602131246023287,0.1790401218334752,0.18590316225152131,18.87057301998438
rh_insula_MK,0.6829403606102635,3.822275088368647e-19,1.8381498930245525e-17,1.640350856516362,0.972917945742754,1.1335882145577494,0.09127852914674006,0.10419277379020894,18.417678060069772
lh_superiortemporal_MD,0.6737864077669903,1.2700356586652066e-18,5.6376722992701734e-18,1.7177642056646933,0.9466498623022456,1.137975023547425,0.10854357707131765,0.11414662565313126,17.896184085229773
rh_parsopercularis_MD,0.6686546463245492,2.6717389188787715e-18,7.952234358170194e-21,2.029447361939764,0.91036273279784,1.1008309334452848,0.09749354081126273,0.09006386102478582,17.57320598318381
lh_superiortemporal_MK,0.6635228848821082,5.63848271705237e-18,4.244750743558833e-19,1.8674125433117361,0.9491880369545667,1.141740599873528,0.10187851742764166,0.10433081650106624,17.24883774641793
rh_postcentral_MK,0.6583911234396671,1.1761126914213218e-17,3.2082504757437626e-19,1.8333745499932268,1.0082634635229006,1.1628968765572176,0.08402610196541296,0.08465991096704827,16.929551063533975
lh_fusiform_MK,0.6578363384188627,1.341295543897782e-17,7.834688141500209e-19,1.7935330743056186,1.0139381359657498,1.172139698966325,0.08797643489041984,0.08843628678877842,16.872475518239277
rh_fusiform_MK,0.6395284327323162,1.2748580173692108e-16,5.161616396096851e-19,1.8543885127256856,0.974385200660754,1.1556402626909252,0.09776001549356529,0.09772767039884467,15.894538180490148
lh_fusiform_MD,0.6338418862690708,2.8818066858650025e-16,3.1267454798563976e-17,1.6543635674442172,1.0111566326540045,1.1669139511002236,0.09182410655630291,0.09641860927150568,15.540335155401952
lh_lingual_MK,0.6298196948682385,4.3658139060472325e-16,1.1910700209506978e-16,1.562609690654925,1.0401057111876988,1.1575447249788238,0.0786083633171367,0.07153657470514117,15.359934780147553
rh_postcentral_MD,0.6206657420249653,1.2694808339931365e-15,1.8028772374822263e-16,1.5812128334577404,1.0152844661759128,1.1579097297144176,0.08945599021629856,0.09093775469752027,14.896373851508537
rh_supramarginal_MK,0.6155339805825243,2.454516435293768e-15,1.3702516643825402e-17,1.681182957267859,0.9002138919291645,1.094782864263777,0.11799924552580054,0.11342224108623285,14.610034055544762
