feature,ks_stat,ks_pval,mw_pval,cohens_d,Patient_mean,Control_mean,Patient_std,Control_std,-log10_ks_p
rh_superiorfrontal_MD,0.5696811826991155,7.678667489556355e-46,1.70947103150465e-50,1.5097381936744974,1.1429190383827141,1.347552493267996,0.10709130515283807,0.15898083801937665,45.11471413832032
lh_temporalpole_MK,0.562151937525758,1.4226723426812055e-44,8.711038669211867e-50,1.476292916861812,1.0196632811287474,1.3792703505372437,0.2084632521052695,0.274250228911496,43.84689511126558
rh_superiorfrontal_MK,0.5617239593790618,1.7631037109356705e-44,2.174111196032482e-50,1.5204139817914137,1.1460281114784225,1.3449706777120625,0.10337070045705879,0.15348193012133313,43.75372214047304
rh_parahippocampal_MK,0.5584163751836079,6.360002095208933e-44,1.6547113355772325e-51,1.5315353183860565,1.0745467397631392,1.3729225992529754,0.19327015308347892,0.1963603984257752,43.19654274127965
rh_isthmuscingulate_MK,0.5545962739482834,2.65482828144201e-43,8.815912601143775e-51,1.5250269889740733,1.1187107642575607,1.341221527872232,0.1368267052337647,0.15445271661694154,42.57596356453882
rh_isthmuscingulate_MD,0.5518276251968172,7.605129177465288e-43,2.2507170180712217e-48,1.459225132543161,1.119332441470125,1.339612222895404,0.1383594484688832,0.16258075381434262,42.11889340480837
rh_parahippocampal_MD,0.5384651963944163,1.1428352385021408e-40,6.992555222279848e-47,1.4230385680067599,1.0827955371619502,1.3735952818240798,0.20180095885631555,0.20687015147220852,39.942016376925025
rh_inferiortemporal_MK,0.53126353943211,1.6422418917875197e-39,1.941297135688278e-48,1.4715297679694501,1.0770604048907768,1.3705704961323706,0.15940176039169984,0.23272084499550266,38.784562873689545
lh_temporalpole_MD,0.5306400650949478,2.048324764743337e-39,1.5685678003925332e-47,1.4301003504257996,1.015596200859075,1.380700676967381,0.22496759207087916,0.2823927409676697,38.68860118424209
rh_rostralanteriorcingulate_MD,0.5277393243228963,5.663284927424813e-39,6.046079629264811e-47,1.4267060196044568,1.139938820247067,1.345579627479483,0.13295935032887443,0.15450770875077458,38.24693158788866
rh_inferiortemporal_MD,0.5191903287506209,1.1935509895175207e-37,2.0187764725394523e-46,1.423824333063061,1.0766890940893998,1.3706833873120967,0.16724945736444818,0.23936868236843414,36.923159022829765
rh_temporalpole_MK,0.49819298115839417,1.573696639557677e-34,3.0029564084001687e-46,1.4201442886616178,1.037716435673908,1.3917058713621075,0.22889391640948697,0.2680889186327925,33.803078982563854
rh_pericalcarine_MK,0.4975483720979383,1.980446498475158e-34,2.712780333006748e-38,1.245755154570872,1.164803774149764,1.334738890719152,0.1121873845408593,0.15693977268896625,33.703236885514606
lh_parahippocampal_MK,0.4909332037070305,1.7110713545948197e-33,9.611762457194436e-40,1.2761943444519865,1.118043999307606,1.3685582317533849,0.18226115866658552,0.2093957452838275,32.7667318792604
lh_pericalcarine_MK,0.4857974659466771,9.117582158659228e-33,1.2572806471524073e-37,1.2276137563651943,1.1689197447430837,1.3311498424973103,0.1096196204210911,0.151364422872536,32.040120314562955
rh_temporalpole_MD,0.48510002007798714,1.1534641210355007e-32,4.368109633823008e-43,1.3503056396472437,1.0417676312708783,1.3938060658909086,0.23960059850429502,0.2802341083471385,31.93799590983698
lh_parahippocampal_MD,0.47553127410679374,2.461051957463642e-31,7.77282186631688e-36,1.1785930283312391,1.128869509020524,1.3685097520245169,0.187720955942737,0.2178184951704316,30.60887921742212
rh_pericalcarine_MD,0.46810770254990436,2.4292125205386406e-30,1.5609870137795902e-37,1.2189475620522197,1.1590302813349396,1.3338638006483896,0.11806364071418175,0.16494012727132573,29.61453448912249
lh_isthmuscingulate_MK,0.43616785197239805,3.109789823541084e-26,5.833161353581305e-34,1.1470816605299161,1.1704482051311478,1.3409156507337805,0.14205181093931699,0.15489015677658446,25.507268961957347
lh_pericalcarine_MD,0.4343396984074986,5.215427400184559e-26,2.4255302448478603e-34,1.1521627300898674,1.1713937673596122,1.3316019066034048,0.11559215041674122,0.15908556533959584,25.28271009568694
lh_isthmuscingulate_MD,0.4136118185372658,1.537344992056716e-23,6.241763292038343e-32,1.1052566164300495,1.1727901732493697,1.3416808259066801,0.14416482510300843,0.16098539837173848,22.8132286625367
rh_lateralorbitofrontal_MK,0.39987424839640284,5.602924064062442e-22,4.041009898779519e-27,0.9837658234811383,1.200743568988028,1.325754637473532,0.1252696493665347,0.12885310701156732,21.251585263447502
lh_lateralorbitofrontal_MD,0.39979499318405176,5.789140578699164e-22,5.2034161368993335e-27,0.9953885852949256,1.1926678424186872,1.3256927135666556,0.13051178618011308,0.1366988859480887,21.23738590425734
rh_lateralorbitofrontal_MD,0.39963119907852607,5.934967516360174e-22,6.420035417282595e-25,0.9281635396002146,1.2002000787528175,1.3252991473530351,0.1335900166377341,0.13596210342208032,21.22658165371093
lh_lateralorbitofrontal_MK,0.3908391541883738,5.502461460416067e-21,6.644647286904243e-27,1.001986580024125,1.1946832700177454,1.323076193223494,0.12408802200296958,0.13206454680369287,20.259442990589655
rh_lateraloccipital_PF,0.3564740941129228,1.9240486889383182e-17,3.7657026110535467e-23,0.9895804262594476,0.36060710212184144,0.40244478293080427,0.04709328157205563,0.036839048577079536,16.715783942137243
rh_inferiorparietal_FW,0.35590874026481806,2.1926008813477887e-17,3.7688645418877736e-15,0.8021880134345543,0.38498595211417946,0.42448967524192965,0.053041022767370605,0.04513073973623806,16.659040415656445
rh_precentral_PF,0.35104247022645857,6.489951429385266e-17,2.3136884404222702e-21,0.949902846159089,0.36590653068110807,0.4060980484901944,0.047921022964610586,0.035833626676307656,16.18775855343521
rh_inferiorparietal_PF,0.34951020278767,9.097829397960017e-17,2.116242309448425e-22,0.9621371687102929,0.36552837877903654,0.4037142261584536,0.04412722965663235,0.03468649040591022,16.041062211298023
rh_fusiform_PF,0.3492143166615591,9.713657192795483e-17,2.0219605778996154e-23,1.00454832422225,0.3653175202428004,0.40699908421853637,0.04683969121324715,0.03534621689930316,16.01261722739215
rh_middletemporal_PF,0.3483002398791094,1.1873368505599437e-16,1.9416264750349317e-23,1.0020096424477938,0.36774771545206236,0.407477134306914,0.04490586433679502,0.03358074814612076,15.925426053087795
rh_fusiform_FW,0.3483002398791094,1.1873368505599437e-16,5.141759702619792e-17,0.8408976959478401,0.3852056277502689,0.4280645319194735,0.055629970027326,0.045834352331272775,15.925426053087795
rh_parsorbitalis_PF,0.3467679724403208,1.6595431982707952e-16,2.7019516045245875e-19,0.8924506616056517,0.3619046341023581,0.399828231244424,0.04830611185807648,0.03574858451725235,15.780011438328316
rh_superiortemporal_PF,0.3458538956578711,2.0253542590010565e-16,1.1591195153324301e-17,0.8567826997506292,0.3628601715110006,0.3995417620408912,0.04716534374242534,0.03796533721925004,15.693499002437862
rh_middletemporal_FW,0.3455580095317602,2.1608888524831434e-16,8.350614008355486e-17,0.8270897423837322,0.3889555260110079,0.4298926212603342,0.054068648778937786,0.04445402474001132,15.665367570920855
rh_supramarginal_PF,0.34553159112764315,2.1698519884109253e-16,8.610406301264247e-21,0.9197892381078107,0.36484883346459857,0.401431190105397,0.04395066007264058,0.035100566467587815,15.663569889565629
rh_supramarginal_FW,0.34461751434519344,2.646064793419342e-16,1.746108634406469e-14,0.7614758739683664,0.3854991594989496,0.42336779879191994,0.0532085521968436,0.04599034442957951,15.577399525575592
rh_insula_PF,0.34434804662319957,2.810502782003519e-16,5.571832212709559e-18,0.8751289055760555,0.36579237113609675,0.40276038632534383,0.0476556521821062,0.03602596648172039,15.551215980480213
rh_inferiortemporal_PF,0.3433811330325158,3.452315493612579e-16,2.7848900138093376e-22,0.9813884457965568,0.3658235888136211,0.40529148359581785,0.04581201300720607,0.03370422198945616,15.46188952266885
rh_superiortemporal_FW,0.342789360780294,3.9281480800263972e-16,9.586944776655124e-13,0.7243193733603379,0.38353344998113525,0.4212014708578845,0.05578769769125876,0.04792403427763009,15.405812148907957
rh_parstriangularis_PF,0.34157939787173336,5.098945865068446e-16,1.4897062497742678e-14,0.7793047361297957,0.3641392284356394,0.3964505296891985,0.04583013624864194,0.036575185398301034,15.292519598863445
rh_parstriangularis_FW,0.3412835117456225,5.436134924578166e-16,3.911808848290606e-10,0.6437961523588561,0.3839443593302829,0.4171429904350005,0.055489464852304424,0.04732048858089246,15.264709772639952
rh_inferiortemporal_FW,0.34098762561951157,5.794653554828572e-16,5.003220753132524e-15,0.8229709874442597,0.3866126599765028,0.42699325193506127,0.05411467777186838,0.04343630626286728,15.236972524104855
rh_lateralorbitofrontal_PF,0.33977766271095095,7.50817170757047e-16,1.4300288048489316e-16,0.8420152170097968,0.362769188829335,0.399216550799191,0.04884306062865946,0.036901065914437044,15.124465803871995
rh_isthmuscingulate_PF,0.3382453952721624,1.0400481326990335e-15,5.605601142788046e-15,0.7568903635479062,0.3574740318700925,0.39390642483951405,0.05300831171014394,0.042707632467375904,14.982946561391723
rh_lateraloccipital_FW,0.3376272046158236,1.1852449410596877e-15,8.971408536940556e-17,0.8392106453377762,0.38002387273960214,0.4231450240798879,0.055548032944956464,0.04684911043699521,14.926191889689285
lh_middletemporal_PF,0.33545032811657916,1.8708698547383455e-15,1.7127349729551379e-15,0.7455839122773958,0.3605336099562065,0.3949297475307834,0.04976868653891671,0.04218546750046773,14.727956422727068
lh_bankssts_PF,0.33270809776922994,3.3233094794086573e-15,3.4825684556137653e-16,0.7532544864409757,0.3502616892400599,0.38617171179976445,0.050131970851747094,0.045080440291511564,14.478429213659272
rh_insula_FW,0.33216916232524224,3.734179872423681e-15,7.844312274491896e-12,0.7293851876345048,0.3861892538127105,0.42392800510424156,0.05669134658486825,0.04626282577856387,14.427804766269213
rh_precentral_FW,0.33120224873455845,4.552044865303596e-15,2.740481650888204e-15,0.8019185033743585,0.38633983876736055,0.4274576920721292,0.05637198478596632,0.045610504370234964,14.341793466152142
lh_superiortemporal_PF,0.3305840580782196,5.1711418589772745e-15,5.758316043286033e-19,0.8360065488247893,0.3569231988773901,0.3975465479027464,0.0524129257809672,0.04444409702929138,14.28641354814439
rh_precuneus_PF,0.32880874132155424,7.485571562154025e-15,8.728889247031528e-18,0.8176119975476016,0.36400209048569987,0.4007284530440988,0.049263357351943156,0.04010692665091383,14.125775033422114
lh_superiortemporal_FW,0.3284600183872093,8.021372918557935e-15,9.211698793425013e-15,0.745402175843336,0.37729810651171514,0.41868848370183764,0.05883901729553189,0.052005709304072716,14.095751292573134
lh_inferiortemporal_PF,0.32773615411440227,9.287999188939444e-15,4.318181307665161e-18,0.7863014896893377,0.3540408612102521,0.3935233692034222,0.05276666538675487,0.047522177137603774,14.032077831193593
rh_superiorfrontal_PF,0.3275723600088766,9.642071719719344e-15,4.93425666029038e-13,0.7472429111386018,0.3630453195465557,0.3964035005284754,0.049919530485144754,0.03864971093040975,14.015829642469013
rh_parsorbitalis_FW,0.32636239710031595,1.2356722017722455e-14,5.815635077868209e-13,0.7440117564971527,0.38307803550625225,0.42177624853728973,0.05740816377089478,0.04598899180741338,13.908096723294555
lh_inferiorparietal_PF,0.32604009257008804,1.3183593431560943e-14,7.260795931403796e-17,0.7962903887626217,0.3649112454927723,0.39856416357497276,0.04541076367992241,0.03885917801681947,13.879966198634838
lh_parsopercularis_PF,0.3251524341917553,1.5818652891718972e-14,4.651299909080806e-15,0.7772037135320934,0.36496680115157265,0.39962046114235006,0.04930277861150288,0.03931089991399243,13.800830503556622
rh_lingual_PF,0.3248301296615274,1.6875035270224272e-14,9.545859680266044e-18,0.832836934700152,0.35737410556187504,0.3941267368517784,0.04832048352981906,0.03949615950611052,13.772755310784477
lh_bankssts_FW,0.3247772928532933,1.7000389705892822e-14,3.4532866420189386e-13,0.6833593702430565,0.3718128536434663,0.4083870143624755,0.05553555491587877,0.05142784552502734,13.769541123022965
rh_rostralmiddlefrontal_PF,0.3245342435354165,1.792854002928696e-14,6.761986188565287e-11,0.6911134550447223,0.3661083156110527,0.3962743566699915,0.0486818265172093,0.03795334848167834,13.746455074801466
lh_supramarginal_PF,0.32418552060107153,1.919048629467248e-14,1.5821927333030144e-16,0.8046106990501104,0.36080266574649267,0.39623208194344495,0.04751863396631303,0.04024659158473053,13.716914019927534
lh_precentral_PF,0.3238632160708436,2.0464436499056884e-14,1.4715935435337576e-14,0.7685228029696484,0.3649898440460111,0.39885874593591447,0.04813141328982416,0.039594447117499466,13.689000209421812
lh_MeanThickness_PF,0.32359374834884974,2.1659154415159038e-14,1.7794986226350103e-13,0.7166584686332693,0.36259118937289914,0.39482718637816344,0.04874407743646009,0.04087286661304131,13.664358502465952
lh_inferiorparietal_FW,0.32300197609662795,2.4437699940533035e-14,6.242122599717394e-12,0.6784162408482118,0.38562346891622334,0.4204578947711887,0.05390851190967117,0.048650146126558554,13.611939672003178
lh_fusiform_PF,0.3227060899705171,2.5953712319490105e-14,1.6263986224250058e-19,0.8653490214159147,0.35289155894150503,0.3949525345997599,0.05263874704725454,0.044206431567224966,13.58580051355503
rh_isthmuscingulate_FW,0.3217655947839503,3.1318470521601523e-14,2.659372665127087e-10,0.6563517256919285,0.37771042139691846,0.41459717344461144,0.06062110796038284,0.051399296243980444,13.504199455434273
lh_middletemporal_FW,0.3195622998805888,4.855600359124014e-14,2.3616378783530303e-11,0.6464003409258048,0.38016795566308076,0.4154953779772783,0.05782727894649673,0.051281640808426114,13.313757065130803
lh_parsopercularis_FW,0.31843159218437933,6.106504988518972e-14,7.801619747628805e-11,0.6615679591322553,0.38560111733754676,0.42095128283592664,0.05777856087621675,0.04870322632820389,13.21420728378143
lh_insula_PF,0.31843159218437933,6.106504988518972e-14,6.540876910259391e-18,0.8192310305998736,0.3609309669448075,0.39951359618075966,0.05158536905364622,0.042131280398543774,13.21420728378143
rh_precuneus_FW,0.3181357060582684,6.479303140100805e-14,5.218088342445534e-13,0.703732934065925,0.3836380868609402,0.42124319390582105,0.057304578165465685,0.04926590429829641,13.188471700716311
lh_superiorparietal_PF,0.3177605647198064,6.954485990911272e-14,1.7049879399712334e-12,0.6584853025702225,0.35833161023815685,0.38992070961337616,0.050744224457501375,0.04503021098739263,13.157734963380094
rh_superiorfrontal_FW,0.3175439338060466,7.291932879527973e-14,4.276836995188006e-09,0.6315596104765383,0.3830451511965996,0.4168567774988862,0.05852399894107374,0.04803437374307312,13.137157337573944
lh_parsorbitalis_PF,0.31746467859369554,7.377378493004821e-14,9.447660261947375e-13,0.6853610412320186,0.35526412551748526,0.38885500854816346,0.05347569307204135,0.044098676767968394,13.132097934691721
lh_precuneus_PF,0.31719521087170166,7.796490798102573e-14,3.2944492939765706e-16,0.7849490428139105,0.3626090660452849,0.3978725995637885,0.048637248534716036,0.04087615582650954,13.108100829354507
rh_rostralanteriorcingulate_PF,0.31539347571091925,1.1142431384901079e-13,2.6861883403198636e-14,0.753623144763228,0.36034325747541746,0.39689675830346344,0.0533238209541568,0.04314841070557101,12.953020031619223
rh_caudalmiddlefrontal_PF,0.31480170345869746,1.2526154153408451e-13,2.7872506320706993e-12,0.6825048607368394,0.3633422253480505,0.39472954149353406,0.05043099750045661,0.04106802831691817,12.902182247946646
lh_superiorfrontal_PF,0.31474886665046337,1.2623741000502824e-13,5.177617481844672e-09,0.5451684136595766,0.35742581335867624,0.3864200530096447,0.057362027358768615,0.04864847991527026,12.898811924401315
lh_MeanThickness_FW,0.31447939892846954,1.3334419787462777e-13,7.294544748044986e-10,0.6164524775264185,0.3813963766019207,0.41439384159727466,0.056842226653535326,0.04999453688238633,12.87502587675591
lh_rostralmiddlefrontal_PF,0.31407783918589044,1.4372271895637389e-13,5.725724408365621e-10,0.5850208723360942,0.3497143106573396,0.381266932978566,0.05841018320676506,0.04905142727382581,12.842474575376515
lh_supramarginal_FW,0.3135653221460198,1.5948643078525896e-13,2.841003111078166e-12,0.6939038181921943,0.37975275400426817,0.41611660332615047,0.05528982122232962,0.04935128429730557,12.797276261106928
lh_fusiform_FW,0.31348606693366865,1.614039438501049e-13,9.744917745661802e-15,0.7567838133446478,0.37389443690771373,0.4170375401362843,0.06039697088997541,0.05340544920231875,12.792085857647331
lh_parstriangularis_PF,0.3129207130855639,1.8055604481591037e-13,3.198280217729617e-17,0.796350944360396,0.35795640802676926,0.39547117081272004,0.05116170889406817,0.042671641444753466,12.743387967296703
rh_transversetemporal_PF,0.31230252242922507,2.0359168161272244e-13,3.7836006210267694e-19,0.8233532827231806,0.3586722942950993,0.3996668815048222,0.05359348079321625,0.04567039777997235,12.691239970458534
rh_lateralorbitofrontal_FW,0.31203305470723125,2.1494192018206985e-13,1.9508587422025443e-11,0.7001193338480015,0.3827928520260186,0.41992923488158324,0.05818934937269449,0.04734031139903139,12.667678875675117
rh_rostralmiddlefrontal_FW,0.3108230917986706,2.7196141557579926e-13,7.291073402492674e-08,0.569528009223878,0.3868943931799319,0.41758567365774985,0.05868734016103059,0.048619330439954374,12.565492706962706
lh_precentral_FW,0.3108230917986706,2.7196141557579926e-13,1.9922840740643652e-10,0.6527396255840782,0.3841485896103533,0.41888533549636403,0.05683045270524358,0.04933929076746926,12.565492706962706
rh_bankssts_PF,0.3102049011423318,3.063894276024703e-13,2.562836577970718e-19,0.8369125319330024,0.35479071042625565,0.3940982288913322,0.050404916853700965,0.04325734747736767,12.513726224721959
